peak	gene	cluster	t_test	wilcoxon_test	ks_test	log2ratio	control_mean	experiment_mean	control_sd	experiment_sd	control_se	experiment_se	control_skewness	experiment_skewness	control_kurtosis	experiment_kurtosis
ldopa-peak-175413	Egr4	cluster_14	0.0056	0.0159	0.0159	2.1261	0.5575	2.4339	0.2313	1.0524	0.1034	0.5262	1.5994	1.2429	2.3561	1.6942
ldopa-peak-183203	Sertad1	cluster_14	0.0089	0.0159	0.0159	1.1462	0.3856	0.8535	0.1036	0.2722	0.0463	0.1361	1.418	1.202	1.9823	1.8493
ldopa-peak-205389	Rhou	cluster_14	0.0017	0.0159	0.0159	-0.5072	1.1849	0.8337	0.1333	0.0541	0.0596	0.027	1.004	1.7336	0.6558	3.8555
ldopa-peak-48096	Fos	cluster_15	0.0052	0.0159	0.0159	2.5008	0.1528	0.8649	0.0647	0.3987	0.029	0.1994	2.1946	2.3931	4.4785	8.7917
ldopa-peak-57631	Nr2f1	cluster_15	0.0076	0.0159	0.0159	-0.6198	1.0139	0.6598	0.1326	0.1546	0.0593	0.0773	0.9124	1.4373	0.2278	1.5118
ldopa-peak-75679	Arc	cluster_15	0.0078	0.0159	0.0159	1.7259	0.4841	1.6014	0.0956	0.6817	0.0427	0.3409	2.2348	1.0568	6.8567	0.5514
ldopa-peak-79261	Nr4a1	cluster_15	0.0067	0.0317	0.0794	1.1204	0.687	1.4934	0.2414	0.3952	0.108	0.1976	1.374	1.2078	1.8801	1.3396
ldopa-peak-99898	Egr1	cluster_15	0.002	0.0159	0.0159	0.9511	2.4798	4.7944	0.568	0.8851	0.254	0.4426	0.9788	0.876	0.8365	0.8337
ldopa-peak-116207	Nr4a2	cluster_15	0.0019	0.0159	0.0159	0.6264	0.5478	0.8456	0.0534	0.1267	0.0239	0.0634	2.2216	2.1261	5.7031	5.6233
ldopa-peak-131039	Anxa5	cluster_15	0.0096	0.0159	0.0159	0.5215	0.4729	0.6789	0.0671	0.1081	0.03	0.054	2.0325	1.4199	4.591	2.2218
ldopa-peak-22552	Izumo4	cluster_16	0.0075	0.0357	0.0357	0.5863	0.4606	0.6915	0.0702	0.0966	0.0314	NA	1.6415	1.6375	2.6983	2.5901
ldopa-peak-33416	Per1	cluster_17	0.0093	0.0159	0.0159	0.7874	0.6659	1.1492	0.0701	0.2993	0.0313	0.1496	1.3079	1.4443	1.2974	2.3078
ldopa-peak-40652	Pgs1	cluster_17	0.0079	0.0159	0.0159	-0.569	0.8652	0.5832	0.0695	0.1553	0.0311	0.0777	1.1149	1.5217	0.774	2.7047
ldopa-peak-41467	Dtnb	cluster_17	0.0068	0.0159	0.0159	-0.7383	0.6217	0.3727	0.0831	0.1145	0.0372	0.0573	1.5396	1.581	2.5935	2.3003
ldopa-peak-52750	Elmo1	cluster_17	0.0042	0.0159	0.0159	0.5674	0.5071	0.7514	0.0783	0.0986	0.035	0.0493	1.5757	1.5427	2.602	3.8477
ldopa-peak-99898	Egr1	cluster_17	7e-04	0.0159	0.0159	1.1375	1.4629	3.2185	0.3544	0.5522	0.1585	0.2761	0.902	0.5197	0.2964	0.0231
ldopa-peak-142227	Pnrc1	cluster_17	0.0014	0.0159	0.0159	0.5633	0.4525	0.6686	0.0301	0.0897	0.0135	0.0449	1.2649	0.9833	0.6188	-0.0757
